text_original	pair_number	discrim_word	text_tense	text_context	text_rel_1	text_syn	text_voice	text_gender	answer_a_gender	answer_b_gender	text_number	answer_a_number	answer_b_number	text_adverb	pron	pron_index	pron_index_adverb	pron_number	pron_gender	pron_index_context	pron_index_number	pron_index_gender	pron_index_voice	pron_index_syn	pron_index_rel	pron_index_tense	answer_a	answer_a_syn	answer_b	answer_b_syn	correct_answer	name_a	name_b	text_scrambled	pron_index_scrambled	text_freqnoun	pron_index_freqnoun
The city councilmen refused the demonstrators a permit because they feared violence .	0	feared	The city councilmen are refusing the demonstrators a permit because they fear violence .	There was going to be a large protest in the city . The city councilmen refused the demonstrators a permit because they feared violence . This , however , did not deter them .	the city councilmen , whom you had seen with the journalists , refused the demonstrators a permit because they feared violence .	the board of aldermen refused the protesters a permit because they feared violence .	The demonstrators were refused a permit by the city councilmen because they feared violence .	-	-	-	The city councilman refused the demonstrator a permit because he feared violence .	the city councilman	the demonstrator	The city councilmen immediately refused the demonstrators a permit because they feared violence .	they	9	10	he	-	21	9	9	11	10	18	10	the city councilmen	the board of aldermen	the demonstrators	the protesters	A			The ctiy councilmen rufeesd the dtrnoerosatms a permit because they freead violence .	9	litter The city councilmen refused the demonstrators a permit because they feared violence sculpture .	10
The city councilmen refused the demonstrators a permit because they advocated violence .	0	advocated	The city councilmen are refusing the demonstrators a permit because they advocate violence .	A far-right protest was scheduled to take place in New York City . The city councilmen refused the demonstrators a permit because they advocated violence . The people of the city were very relieved .	the city councilmen , whom you had seen with the journalists , refused the demonstrators a permit because they advocated violence .	the board of aldermen refused the protesters a permit because they advocated violence .	The demonstrators were refused a permit by the city councilmen because they advocated violence .	-	-	-	The city councilman refused the demonstrator a permit because he advocated violence .	the city councilman	the demonstrator	The city councilmen immediately refused the demonstrators a permit because they advocated violence .	they	9	10	he	-	22	9	9	11	10	18	10	the city councilmen	the board of aldermen	the demonstrators	the protesters	B			The ctiy councilmen reefusd the demonstrators a piermt because they advocated violence .	9	The city councilmen refused the marble demonstrators a permit because they advocated transport violence .	10
The trophy doesn't fit into the brown suitcase because it is too large .	1	large	The trophy didn't fit into the brown suitcase because it was too large .	The trophy was made of clay . The trophy doesn't fit into the brown suitcase because it is too large . The owners had to buy a new suitcase .	the trophy , which we had seen beside the blue painting  , doesn't fit into the brown suitcase because it is too large .	the cup doesn't fit into the brown suitcase because it is too large .	-	-	-	-	The trophies don't fit into the brown suitcases because they are too large .	the trophies	the suitcases	The trophy doesn't properly fit into the brown suitcase because it is too large .	it	9	10	they	-	16	9	9	-	9	19	9	the trophy	the cup	the suitcase	the travel bag	A .			The trophy doesn't fit into the brown suitcase because it is too lrgae .	9	The trophy doesn't fit into the brown suitcase because it is mailing too large month .	9
The trophy doesn't fit into the brown suitcase because it is too small .	1	small	The trophy didn't fit into the brown suitcase because it was too small .	The owners bought a suitcase on a budget . The trophy doesn't fit into the brown suitcase because it is too small . They need to carry it in a plastic bag .	the trophy , which you had seen beside the blue painting  , doesn't fit into the brown suitcase because it is too small .	the cup doesn't fit into the brown suitcase because it is too small .	-	-	-	-	The trophies don't fit into the brown suitcases because they are too small .	the trophies	the suitcases	The trophy doesn't properly fit into the brown suitcase because it is too small .	it	9	10	they	-	18	9	9	-	9	19	9	the trophy	the cup	the suitcase	the travel bag	B .			The tophry doesn't fit into the brown suitcase because it is too small .	9	The trophy doesn't fit comment into the brown suitcase because it is too small improvement .	10
Joan made sure to thank Susan for all the help she had received .	2	received	Joan is making sure to thank Susan for all the help she is receiving .	Susan was a volunteer at the village fair . Joan made sure to thank Susan for all the help she had received . The event was a great success .	joan , whom you know from cory's linguistics class , made sure to thank susan for all the help she had received .	linda made sure to thank cathy for all the help she had received .	-	John made sure to thank Bill for all the help he had received .	john	bill	Joan and Sally made sure to thank Susan and Mary for all the help they had received .	joan and sally	susan and mary	Joan made sure to profusely thank Susan for all the help she had received .	she	10	11	they	he	19	14	10	-	10	3	11	joan	linda	susan	cathy	A .			Joan mdae sure to thank Sausn for all the help she had received .	10	mandarin latter Joan made sure to thank Susan for all the help she had received .	12
Joan made sure to thank Susan for all the help she had given .	2	given	Joan is making sure to thank Susan for all the help she is giving .	Susan was brought in as the expert on statistics . Joan made sure to thank Susan for all the help she had given . They were able to publish their paper because of her .	joan , whom we had seen at cory's linguistics class , made sure to thank susan for all the help she had given .	linda made sure to thank cathy for all the help she had given .	-	John made sure to thank Bill for all the help he had given .	john	bill	Joan and Sally made sure to thank Susan and Mary for all the help they had given .	joan and sally	susan and mary	Joan made sure to profusely thank Susan for all the help she had given .	she	10	11	they	he	20	14	10	-	10	20	11	joan	linda	susan	cathy	B .			Joan made sure to tahnk Susan for all the help she had given .	10	Joan made sure to thank Susan for sickness all silence the help she had given .	12
Paul tried to call George on the phone , but he wasn't successful .	3	successful	Paul is trying to call George on the phone , but he isn't successful .	Paul needed to know where the party was going to be . Paul tried to call George on the phone , but he wasn't successful . He decided to stay in that night .	paul , whom we know from tom's yoga class , tried to call george on the phone , but he wasn't successful .	patrick tried to call jake on the phone ,  but  he  wasn't successful .	George was tried on the phone by Paul , but he wasn't successful .	Anna tried to call Lily on the phone ,  but she wasn't successful .	anna	lily	Paul and Bill tried to call George and John on the phone ,  but they weren't successful .	paul and bill	george and john	Paul continuously tried to call George on the phone , but he wasn't successful .	he	10	11	they	she	22	14	10	10	10	19	11	paul	patrick	george	jake	A .			Paul teird to call Groege on the pohne , but he wasn't sufesuccsl .	10	Paul tried to call George animal on the phone answer , but he wasn't successful .	12
Paul tried to call George on the phone , but  he wasn't available .	3	available	Paul is trying to call George on the phone , but he isn't available .	Paul needed a solicitor fairly urgently . Paul tried to call George on the phone , but he wasn't available . He decided to retain Kevin instead .	paul , whom you know from tom's yoga class , tried to call george on the phone , but he wasn't available .	patrick tried to call jake on the phone ,  but  he wasn't available .	George was tried on the phone by Paul , but he wasn't available .	Anna tried to call Lily on the phone ,  but  she wasn't available .	anna	lily	Paul and Bill tried to call George and John on the phone ,  but  they weren't available .	paul and bill	george and john	Paul continuously tried to call George on the phone , but  he wasn't available .	he	10	11	they	she	17	14	10	10	10	3	11	paul	patrick	george	jake	B .			Paul tried to clal George on the phone , but he wasn't abavilale .	10	Paul tried to call George on the career phone , but he wasn't tofu available .	11
The lawyer asked the witness a question , but  he was reluctant to repeat it .	4	repeat	The lawyer is asking the witness a question , but he is reluctant to repeat it .	The trainee lawyer was given an easy case to handle . The lawyer asked the witness a question , but he was reluctant to repeat it . He realised he had made a mistake .	the lawyer , that is mentioned in the interview with the suspect , asked the witness a question , but he was reluctant to repeat it .	the attorney asked the bystander a question ,  but  he was reluctant to repeat it .	The witness was asked a question by the lawyer , but he was reluctant to repeat it .	The lawyer asked the witness a question ,  but  she was reluctant to repeat it .	the lawyer	the witness	The lawyers asked the witnesses a question ,  but  they were reluctant to repeat it .	the lawyers	the witnesses	The lawyer loudly asked the witness a question , but  he was reluctant to repeat it .	he	9	10	they	she	20	9	9	11	9	20	10	the lawyer	the attorney	the witness	the bystander	A .			The lawyer asked the wsnteis a qsutieon , but he was rntcealut to repeat it .	9	The lawyer asked the witness ruling a question , but he was reluctant to repeat it mind .	10
The lawyer asked the witness a question , but  he was reluctant to answer it .	4	answer	The lawyer is asking the witness a question , but he is reluctant to answer it .	The murder trial was supposed to be an open and shut case . The lawyer asked the witness a question , but he was reluctant to answer it . That was when the lawyer realized things might not be very straightforward .	the lawyer , that is mentioned in the interview with the suspect , asked the witness a question , but he was reluctant to answer it .	the attorney asked the bystander a question ,  but  he was reluctant to answer it .	The witness was asked a question by the lawyer , but he was reluctant to answer it .	The lawyer asked the witness a question ,  but  she was reluctant to answer it .	the lawyer	the witness	The lawyers asked the witnesses a question ,  but  they were reluctant to answer it .	the lawyers	the witnesses	The lawyer loudly asked the witness a question , but  he was reluctant to answer it .	he	9	10	they	she	22	9	9	11	9	20	10	the lawyer	the attorney	the witness	the bystander	B .			The lwyaer asked the wnietss a question , but he was reluctant to aswenr it .	9	The lawyer asked the witness asset a question , but he was reluctant to anagram answer it .	10
