	Unnamed: 0	text_original	text_tense	text_random	text_role_rev	text_rel_1	text_syn	text_voice_switch	pron	pron_index	pron_index_voice	pron_index_syn	pron_index_rel	pron_index_rand	pron_index_tense	answer_a	answer_a_syn	answer_b	answer_b_syn	correct_answer	name_a	name_b	text_scrambled	pron_index_scrambled	text_freqnoun	pron_index_freqnoun
0	0	The city councilmen refused the demonstrators a permit because they feared violence .	The city councilmen are refusing the demonstrators a permit because they fear violence .	What we need is more vocational training in high schools , not more dropouts . The city councilmen refused the demonstrators a permit because they feared violence . Another optimistic sign , this one from the Labor Department , was the report that the long rise in unemployment compensation payments `` was interrupted for the first time in the week ending Feb. 25 '' .	The demonstrators refused the city councilmen a permit because they feared violence .	the city councilmen , which you had seen with the journalists , refused the demonstrators a permit because they feared violence .	the board of aldermen refused the protesters a permit because they feared violence .	The demonstrators were refused a permit by the city councilmen because they feared violence .	they	9	11	10	18	24	10	the city councilmen	the board of aldermen	the demonstrators	the protesters	A			The ctiy councilmen rufeesd the dtrnoerosatms a permit because they freead violence .	9.0	litter The city councilmen refused the demonstrators a permit because they feared violence sculpture .	10.0
1	1	The city councilmen refused the demonstrators a permit because they advocated violence .	The city councilmen are refusing the demonstrators a permit because they advocate violence .	But preservation of the natural beauty of the Cape is of more than regional concern , for the automobile age has made it the recreation spot of people from all over the country . The city councilmen refused the demonstrators a permit because they advocated violence . The handwriting is on the wall .	The demonstrators refused the city councilmen a permit because they advocated violence .	the city councilmen , which you had seen with the journalists , refused the demonstrators a permit because they advocated violence .	the board of aldermen refused the protesters a permit because they advocated violence .	The demonstrators were refused a permit by the city councilmen because they advocated violence .	they	9	11	10	18	43	10	the city councilmen	the board of aldermen	the demonstrators	the protesters	B			The ctiy councilmen reefusd the demonstrators a piermt because they advocated violence .	9.0	The city councilmen refused the marble demonstrators a permit because they advocated transport violence .	10.0
2	2	The trophy doesn't fit into the brown suitcase because it is too large .	The trophy didn't fit into the brown suitcase because it was too large .	`` To tell you the truth '' , Maris said , `` Mickey don't talk much '' . The trophy doesn't fit into the brown suitcase because it is too large . The works are presented chronologically .	The brown suitcase doesn't fit into the trophy because it is too large .	the trophy , which we had seen beside the blue painting  , doesn't fit into the brown suitcase because it is too large .	the cup doesn't fit into the brown suitcase because it is too large .	-	it	9	-	9	19	27	9	the trophy	the cup	the suitcase	the travel bag	A .			The trophy doesn't fit into the brown suitcase because it is too lrgae .	9.0	The trophy doesn't fit into the brown suitcase because it is mailing too large month .	9.0
3	3	The trophy doesn't fit into the brown suitcase because it is too small .	The trophy didn't fit into the brown suitcase because it was too small .	Explosion avoided The trophy doesn't fit into the brown suitcase because it is too small . The petitions will be presented in open court to President Judge William F. Dannehower , Davenport said .	The trophy doesn't fit into the brown suitcase because it is too small .	the trophy , which you had seen beside the blue painting  , doesn't fit into the brown suitcase because it is too small .	the cup doesn't fit into the brown suitcase because it is too small .	-	it	9	-	9	19	11	9	the trophy	the cup	the suitcase	the travel bag	B .			The tophry doesn't fit into the brown suitcase because it is too small .	9.0	The trophy doesn't fit comment into the brown suitcase because it is too small improvement .	10.0
4	4	Joan made sure to thank Susan for all the help she had received .	Joan is making sure to thank Susan for all the help she is receiving .	the breakthrough ; ; Joan made sure to thank Susan for all the help she had received . New York		joan , who you know from cory's linguistics class , made sure to thank susan for all the help she had received .	linda made sure to thank cathy for all the help she had received .	-	she	10	-	10	3	14	11	joan	linda	susan	cathy	A .			Joan mdae sure to thank Sausn for all the help she had received .	10.0	mandarin latter Joan made sure to thank Susan for all the help she had received .	12.0
5	5	Joan made sure to thank Susan for all the help she had given .	Joan is making sure to thank Susan for all the help she is giving .	Everywhere there are little touches of humor , and the leader of the on-stage band of musicians is an ebullient comedian who plays all sorts of odd instruments with winning warmth . Joan made sure to thank Susan for all the help she had given . It is high time the United States began to realize that the God-given rights of men set forth in that document are applicable today to Katanga .		joan , which we had seen at cory's linguistics class , made sure to thank susan for all the help she had given .	linda made sure to thank cathy for all the help she had given .	-	she	10	-	10	20	42	11	joan	linda	susan	cathy	B .			Joan made sure to tahnk Susan for all the help she had given .	10.0	Joan made sure to thank Susan for sickness all silence the help she had given .	12.0
6	6	Paul tried to call George on the phone ,  but he wasn't successful .	Paul is trying to call George on the phone , but he isn't successful .	Through Secretary Herter , Ike offered President-elect Kennedy an opportunity to associate his new Administration with the breakoff decision . Paul tried to call George on the phone , but he wasn't successful . Tax-free returns .		paul , who we know from tom's yoga class , tried to call george on the phone , but he wasn't successful .	patrick tried to call jake on the phone ,  but  he  wasn't successful .	George was tried on the phone by Paul , but he wasn't successful .	he	10	10	10	19	30	11	paul	patrick	george	jake	A .			Paul teird to call Groege on the pohne , but he wasn't sufesuccsl .	10.0	Paul tried to call George animal on the phone answer , but he wasn't successful .	12.0
7	7	Paul tried to call George on the phone ,  but  he wasn't available .	Paul is trying to call George on the phone , but he isn't available .	The state Public Works Department is accused of having spent $8,555 to build a private beach for a state judge on his waterfront property . Paul tried to call George on the phone , but he wasn't available . The conversion to magnetic tape is not yet completed , he said , and added Field's long service in state government and welfare employ gave him familiarity with the welfare program .		paul , who you know from from tom's yoga class , tried to call george on the phone , but he wasn't available .	patrick tried to call jake on the phone ,  but  he wasn't available .	George was tried on the phone by Paul , but he wasn't available .	he	10	10	10	3	35	11	paul	patrick	george	jake	B .			Paul tried to clal George on the phone , but he wasn't abavilale .	10.0	Paul tried to call George on the career phone , but he wasn't tofu available .	11.0
8	8	The lawyer asked the witness a question ,  but  he was reluctant to repeat it .	The lawyer is asking the witness a question , but he is reluctant to repeat it .	The Bayreuth Festival opens July 23 with a new production of `` Tannhaeuser '' staged by Wieland Wagner , who is doing all the operas this time , and conducted by Wolfgang Sawallisch . The lawyer asked the witness a question , but he was reluctant to repeat it . There are even motels for local weather peculiarities in Shamrock , Tex. , as I discovered .		the lawyer , that is mentioned in the interview with the suspect , asked the witness a question , but he was reluctant to repeat it .	the attorney asked the bystander a question ,  but  he was reluctant to repeat it .	The witness was asked a question by the lawyer , but he was reluctant to repeat it .	he	9	11	9	20	43	10	the lawyer	the attorney	the witness	the bystander	A .			The lawyer asked the wsnteis a qsutieon , but he was rntcealut to repeat it .	9.0	The lawyer asked the witness ruling a question , but he was reluctant to repeat it mind .	10.0
9	9	The lawyer asked the witness a question ,  but  he was reluctant to answer it .	The lawyer is asking the witness a question , but he is reluctant to answer it .	This atmosphere of understanding has been particularly noticeable where relations are concerned between the `` colonialist '' powers and those who have never , or not for a long time , had such problems . The lawyer asked the witness a question , but he was reluctant to answer it . ) Back home in Coolidge , Ariz. , his 36-year-old wife , Mary , said : `` I thought they were going to Phoenix to look for jobs '' .		the lawyer , that is mentioned in the interview with the suspect , asked the witness a question , but he was reluctant to answer it .	the attorney asked the bystander a question ,  but  he was reluctant to answer it .	The witness was asked a question by the lawyer , but he was reluctant to answer it .	he	9	11	9	20	44	10	the lawyer	the attorney	the witness	the bystander	B .			The lwyaer asked the wnietss a question , but he was reluctant to aswenr it .	9.0	The lawyer asked the witness asset a question , but he was reluctant to anagram answer it .	10.0
10	10	The delivery truck zoomed by the school bus because it was going so fast .	The delivery truck is zooming by the school bus because it is going so fast .	In the autumn of 1959 , the British Broadcasting Corporation presented a series of talks by four scientists competent in cosmology . The delivery truck zoomed by the school bus because it was going so fast . Denver itself collects a 1% sales tax which is to be absorbed in the higher area tax .		the delivery truck , which we had seen parked by the red car , zoomed by the school bus because it was going so fast .	the van zoomed by the coach because   it was going so fast .	The school bus was zoomed by by the delivery truck because it was going so fast .	it	9	11	7	20	31	10	the delivery truck	the van	the school bus	the coach	A .			The delivery truck zoomed by the school bus because it was going so fast .	9.0	The delivery truck zoomed hour by the school bus because switch it was going so fast .	10.0
