text_original 	 pron 	 pron_index 	 answerA 	 answerB 	 correctAnswer
The city councilmen refused the demonstrators a permit because they feared violence .   	 they  	 9 	 the city councilmen  	 the demonstrators  	  A  
The city councilmen refused the demonstrators a permit because they advocated violence .   	 they  	 9 	 the city councilmen  	 the demonstrators  	  B  
The trophy doesn't fit into the brown suitcase because  it is too large .  	 it  	 9 	 the trophy  	 the suitcase  	 A .   
The trophy doesn't fit into the brown suitcase because  it is too small .  	 it  	 9 	 the trophy  	 the suitcase  	 B .   
Joan made sure to thank Susan for all the help   she had recieved .  	  she  	 10 	  joan  	  susan   	  A .   
Joan made sure to thank Susan for all the help   she had given .  	  she  	 10 	  joan  	  susan   	  B .   
Paul tried to call George on the phone ,  but  he  wasn't successful .  	 he   	 10 	  paul  	  george  	  A .  
Paul tried to call George on the phone ,  but  he wasn't available .  	 he  	 10 	  paul  	  george  	  B .  
The lawyer asked the witness a question ,  but  he was reluctant to repeat it .  	 he  	 9 	  the lawyer  	  the witness  	  A .   
The lawyer asked the witness a question ,  but  he was reluctant to answer it .  	 he  	 9 	  the lawyer  	  the witness  	  B .   
The delivery truck zoomed by the school bus because   it was going so fast .  	  it  	 9 	  the delivery truck  	  the school bus  	  A .   
The delivery truck zoomed by the school bus because   it was going so slow .  	  it  	 9 	  the delivery truck  	  the school bus  	  B .   
Frank felt vindicated when his longtime rival Bill revealed that he was the winner of the competition .  	 he  	 10 	  frank  	  bill  	  A .   
Frank felt crushed when his longtime rival Bill revealed that he was the winner of the competition .  	 he  	 10 	  frank  	  bill  	  B .   
The man couldn't lift his son because  he was so weak .  	 he  	 7 	  the man  	  the son  	  A .  
The man couldn't lift his son because  he was so heavy .  	 he  	 7 	  the man  	  the son  	  B .  
The large ball crashed right through the table because  it was made of steel .  	 it  	 9 	 the large ball  	 the table  	  A .  
The large ball crashed right through the table because  it was made of styrofoam .  	 it  	 9 	 the large ball  	 the table  	  B .  
John couldn't see the stage with Billy in front of him because  he is so short .  	 he  	 12 	 john  	 billy  	  A .  
John couldn't see the stage with Billy in front of him because  he is so tall .  	 he  	 12 	 john  	 billy  	  B .  
Tom threw his schoolbag down to Ray after  he reached the top of the stairs .   	 he  	 8 	 tom  	 ray  	  A 
Tom threw his schoolbag down to Ray after  he reached the bottom of the stairs .   	 he  	 8 	 tom  	 ray  	  B 
Although they ran at about the same speed ,  Sue beat Sally because   she had such a good start .  	  she  	 13 	  sue  	  sally  	  A 
Although they ran at about the same speed ,  Sue beat Sally because   she had such a bad start .  	  she  	 13 	  sue  	  sally  	  B 
The sculpture rolled off the shelf because   it wasn't anchored .  	  it  	 7 	  the sculpture  	  the shelf  	  A  
The sculpture rolled off the shelf because   it wasn't level .  	  it  	 7 	  the sculpture  	  the shelf  	  B  
Sam's drawing was hung just above Tina's and   it did look much better with another one below it .  	  it  	 8 	  sam's drawing  	  tina's drawing  	  A  
Sam's drawing was hung just above Tina's and   it did look much better with another one above it .  	  it  	 8 	  sam's drawing  	  tina's drawing  	  B  
Anna did a lot better than her good friend Lucy on the test because   she had studied so hard .   	  she  	 14 	 anna  	 lucy  	  A 
Anna did a lot worse than her good friend Lucy on the test because   she had studied so hard .   	  she  	 14 	 anna  	 lucy  	  B 
The firemen arrived after the police because   they were coming from so far away .   	  they  	 7 	 the firemen  	 the police  	  A  
The firemen arrived before the police because   they were coming from so far away .   	  they  	 7 	 the firemen  	 the police  	  B  
Frank was upset with Tom because the toaster  he had bought from him didn't work .  	 he  	 8 	  frank  	  tom  	  A  
Frank was upset with Tom because the toaster  he had sold him didn't work .  	 he  	 8 	  frank  	  tom  	  B  
Jim yelled at Kevin because  he was so upset .  	 he  	 5 	 jim   	 kevin   	  A  
Jim comforted Kevin because  he was so upset .  	 he  	 4 	 jim   	 kevin   	  B  
The sack of potatoes had been placed abovethe bag of flour ,  so  it had to be moved first .    	 it  	 13 	  the sack of potatoes  	  the bag of flour  	  A 
The sack of potatoes had been placed belowthe bag of flour ,  so  it had to be moved first .    	 it  	 13 	  the sack of potatoes  	  the bag of flour  	  B 
Pete envies Martin although  he is very successful .  	  he  	 4 	  pete  	  martin  	  A  
Pete envies Martin because  he is very successful .  	  he  	 4 	  pete  	  martin  	  B  
The older students were bullying the younger ones ,  so we punished  them.  	 them 	 12 	 the older students  	 the younger students  	  A 
The older students were bullying the younger ones ,  so we rescued them.  	 them 	 12 	 the older students  	 the younger students  	  B 
I poured water from the bottle into the cup until   it was empty .  	  it  	 10 	  the bottle  	  the cup  	  A  
