text_original	text_random	text_role_rev	text_rel_1	text_syn	text_voice_switch	pron	pron_index	pron_index_voice	pron_index_syn	pron_index_rel	pron_index_rand	answerA	answerA_syn	answerB	answerB_syn	correctAnswer	Name_A	Name_B
The city councilmen refused the demonstrators a permit because they feared violence .	) He smiled , and said a word or two to the interpreter , who turned to me , `` The President wonders where you are going after you leave Taipei '' ? ? He always feels lonely . The city councilmen refused the demonstrators a permit because they feared violence . Two criticisms of this generally admirable and fascinating book involve the treatment of wartime diplomacy which is jagged at the edges -- there is no mention of the Potsdam Conference or the Morgenthau Plan . Reports that the venerable liner , which has been in service since 1936 , was to be retired struck a nostalgic note in many of us .	The demonstrators refused the city councilmen a permit because they feared violence . 	the city councilmen , which you had seen with the journalists , refused the demonstrators a permit because they feared violence .	the board of aldermen refused the protesters a permit because they feared violence .	The demonstrators were refused a permit by the city councilmen because they feared violence .	they	9	11	10	18	48	the city councilmen	the board of aldermen	the demonstrators	the protesters	A		
The city councilmen refused the demonstrators a permit because they advocated violence .	Others are Drs. and Mmes. Alfred Robbins , and J. Lafe Ludwig and Gen. and Mrs. Leroy Watson . You may be sure he marries her in the end and has a fine old knockdown fight with the brother , and that there are plenty of minor scraps along the way to ensure that you understand what the word Donnybrook means . The city councilmen refused the demonstrators a permit because they advocated violence . He has no experience with this veteran's previous medical record . One high-up camera shot is magnificent , as the Germans straggle from a cathedral , dotting a huge , cobblestone square , and drop their weapons .	The demonstrators refused the city councilmen a permit because they advocated violence .	the city councilmen , which you had seen with the journalists , refused the demonstrators a permit because they advocated violence .	the board of aldermen refused the protesters a permit because they advocated violence .	The demonstrators were refused a permit by the city councilmen because they advocated violence .	they	9	11	10	18	71	the city councilmen	the board of aldermen	the demonstrators	the protesters	B		
The trophy doesn't fit into the brown suitcase because it is too large .	Polls will be in the water office . Their singing was well-balanced , clear and , within obvious limitations , extremely pleasing . The trophy doesn't fit into the brown suitcase because it is too large . Within view of the avenue are some of the United States government's tremendous buildings , plus shrines and monuments . Said Maris .	The brown suitcase doesn't fit into the trophy because it is too large .	the trophy , which we had seen beside the blue painting  , doesn't fit into the brown suitcase because it is too large .	the cup doesn't fit into the brown suitcase because it is too large .	-	it	9	-	9	19	32	the trophy	the cup	the suitcase	the travel bag	A .		
The trophy doesn't fit into the brown suitcase because it is too small .	The road's engineers look for further improvement when the turnpike is extended into Boston . He was taken to University Hospital in a municipal ambulance . The trophy doesn't fit into the brown suitcase because it is too small . Julie Wilson sings The esplanade would feature pedestrian bridges over roads in the project .	The trophy doesn't fit into the brown suitcase because it is too small .	the trophy , which you had seen beside the blue painting  , doesn't fit into the brown suitcase because it is too small .	the cup doesn't fit into the brown suitcase because it is too small .	-	it	9	-	9	19	35	the trophy	the cup	the suitcase	the travel bag	B .		
Joan made sure to thank Susan for all the help she had received .	Anyone familiar with the details of the McClellan hearings must at once realize that the sweetheart arrangements augmented employer profits far more than they augmented the earnings of the corruptible labor leaders . The tortured reasoning that unions use to deny their ambition to exercise monopoly power over the supply and price of labor is one of the things that create a legal profession . Joan made sure to thank Susan for all the help she had received . Then , Jesus indicated that God's forgiveness is unlimited . Lester Markel is on the right track in his article `` Interpretation Of Interpretation '' ( SR , Mar. 11 ) .		joan , who you know from cory's linguistics class , made sure to thank susan for all the help she had received .	linda made sure to thank cathy for all the help she had received .	-	she	10	-	10	3	75	joan	linda	susan	cathy	A .		
Joan made sure to thank Susan for all the help she had given .	Hughes would not comment on tax reforms or other issues in which the Republican candidates are involved . Hmpf But on to the frothier side Johnny Weissmuller , the only real Tarzan , telephoned Maureen O'Sullivan , his first `` Jane '' ( now at Drury Lane ) and muttered , `` Me Tarzan , this Jane '' ? ? Joan made sure to thank Susan for all the help she had given . The Supreme Court decision in mid-1960 was in the case of a company making sewer pipe from clay which it mined . Well , now we have two big theaters .		joan , which we had seen at cory's linguistics class , made sure to thank susan for all the help she had given .	linda made sure to thank cathy for all the help she had given .	-	she	10	-	10	20	70	joan	linda	susan	cathy	B .		
Paul tried to call George on the phone ,  but  he  wasn't successful .	U.S. Dist. Judge Charles L. Powell denied all motions made by defense attorneys Monday in Portland's insurance fraud trial . The Chicago Press club will fete George E. Barnes , president of the United States Lawn Tennis association , at a cocktail party and buffet supper beginning at 5:30 p.m. tomorrow . Paul tried to call George on the phone , but he wasn't successful . Shea , the chairman of Mayor Wagner's Baseball Committee , will be joined on the dais by Warren Spahn , the southpaw pitching ace of the Milwaukee Braves ; ; In itself there is nothing wrong with this form of `` participation '' : the only difficulty on the Catholic campus is that those faculty members who are in a position to implement policy , i.e. , members of the religious community which owns and administers the institution , have their own eating arrangements .		paul , who we know from tom's yoga class , tried to call george on the phone , but he wasn't successful .	patrick tried to call jake on the phone ,  but  he  wasn't successful .	George was tried on the phone by Paul , but he wasn't successful .	he	10	10	10	19	62	paul	patrick	george	jake	A .		
Paul tried to call George on the phone ,  but  he wasn't available .	When they do that my wife has to drive me to work in the big car . In the past these same Southerners were inclined to look the other way . Paul tried to call George on the phone , but he wasn't available . If we go all gooey over this newest Castro ( until he proves he isn't ) we've got rocks in our heads . The second choice , full testing , has become even more risky just because the current Soviet tests have already dangerously contaminated the atmosphere .		paul , who you know from from tom's yoga class , tried to call george on the phone , but he wasn't available .	patrick tried to call jake on the phone ,  but  he wasn't available .	George was tried on the phone by Paul , but he wasn't available .	he	10	10	10	3	41	paul	patrick	george	jake	B .		
The lawyer asked the witness a question ,  but  he was reluctant to repeat it .	Birgit Nilsson will be starred . Whatever the cause , his mood in the fifties rarely rises above the level of the capably sardonic . The lawyer asked the witness a question , but he was reluctant to repeat it . The atom reactor , water cooled , was the result of almost a decade of research at the naval reactors branch of the atomic energy commission and Westinghouse Electric Corp. . Texas' 545-yard spree against Washington State gave the Longhorns a 3-game total offense of 1,512 yards ( 1,065 rushing and 447 passing ) a new SWC high .		the lawyer , that is mentioned in the interview with the suspect , asked the witness a question , but he was reluctant to repeat it .	the attorney asked the bystander a question ,  but  he was reluctant to repeat it .	The witness was asked a question by the lawyer , but he was reluctant to repeat it .	he	9	11	9	20	34	the lawyer	the attorney	the witness	the bystander	A .		
The lawyer asked the witness a question ,  but  he was reluctant to answer it .	It was in them that Miss Xydis was at her best . He always feels lonely . The lawyer asked the witness a question , but he was reluctant to answer it . I have a hunch Marv Breeding might move up a notch . After the spate of female vocalists we have been having , all of whom took Sarah as a point of departure and then tried to see what they could do that might make her seem old hat , it seemed that all that has happened is to make the real thing seem better than ever .		the lawyer , that is mentioned in the interview with the suspect , asked the witness a question , but he was reluctant to answer it .	the attorney asked the bystander a question ,  but  he was reluctant to answer it .	The witness was asked a question by the lawyer , but he was reluctant to answer it .	he	9	11	9	20	26	the lawyer	the attorney	the witness	the bystander	B .		
