text_original	text_rel_1	text_syn	text_voice_switch	pron	pron_index	pron_index_voice	pron_index_syn	pron_index_rel	answerA	answerA_syn	answerB	answerB_syn	correctAnswer	Name_A	Name_B
The city councilmen refused the demonstrators a permit because they feared violence .	the city councilmen , which you had seen with the journalists , refused the demonstrators a permit because they feared violence .	the board of aldermen refused the protesters a permit because they feared violence .	The demonstrators were refused a permit by the city councilmen because they feared violence .	they	9	11	10	18	the city councilmen	the board of aldermen	the demonstrators	the protesters	A		
The city councilmen refused the demonstrators a permit because they advocated violence .	the city councilmen , which you had seen with the journalists , refused the demonstrators a permit because they advocated violence .	the board of aldermen refused the protesters a permit because they advocated violence .	The demonstrators were refused a permit by the city councilmen because they advocated violence .	they	9	11	10	18	the city councilmen	the board of aldermen	the demonstrators	the protesters	B		
The trophy doesn't fit into the brown suitcase because it is too large .	the trophy , which we had seen beside the blue painting  , doesn't fit into the brown suitcase because it is too large .	the cup doesn't fit into the brown suitcase because it is too large .	-	it	9	-	9	19	the trophy	the cup	the suitcase	the travel bag	A .		
The trophy doesn't fit into the brown suitcase because it is too small .	the trophy , which you had seen beside the blue painting  , doesn't fit into the brown suitcase because it is too small .	the cup doesn't fit into the brown suitcase because it is too small .	-	it	9	-	9	19	the trophy	the cup	the suitcase	the travel bag	B .		
Joan made sure to thank Susan for all the help she had received .	joan , who you know from cory's linguistics class , made sure to thank susan for all the help she had received .	linda made sure to thank cathy for all the help she had received .	-	she	10	-	10	3	joan	linda	susan	cathy	A .		
Joan made sure to thank Susan for all the help she had given .	joan , which we had seen at cory's linguistics class , made sure to thank susan for all the help she had given .	linda made sure to thank cathy for all the help she had given .	-	she	10	-	10	20	joan	linda	susan	cathy	B .		
Paul tried to call George on the phone ,  but  he  wasn't successful .	paul , who we know from tom's yoga class , tried to call george on the phone , but he wasn't successful .	patrick tried to call jake on the phone ,  but  he  wasn't successful .	George was tried on the phone by Paul , but he wasn't successful .	he	10	10	10	19	paul	patrick	george	jake	A .		
Paul tried to call George on the phone ,  but  he wasn't available .	paul , who you know from from tom's yoga class , tried to call george on the phone , but he wasn't available .	patrick tried to call jake on the phone ,  but  he wasn't available .	George was tried on the phone by Paul , but he wasn't available .	he	10	10	10	3	paul	patrick	george	jake	B .		
The lawyer asked the witness a question ,  but  he was reluctant to repeat it .	the lawyer , that is mentioned in the interview with the suspect , asked the witness a question , but he was reluctant to repeat it .	the attorney asked the bystander a question ,  but  he was reluctant to repeat it .	The witness was asked a question by the lawyer , but he was reluctant to repeat it .	he	9	11	9	20	the lawyer	the attorney	the witness	the bystander	A .		
The lawyer asked the witness a question ,  but  he was reluctant to answer it .	the lawyer , that is mentioned in the interview with the suspect , asked the witness a question , but he was reluctant to answer it .	the attorney asked the bystander a question ,  but  he was reluctant to answer it .	The witness was asked a question by the lawyer , but he was reluctant to answer it .	he	9	11	9	20	the lawyer	the attorney	the witness	the bystander	B .		
The delivery truck zoomed by the school bus because   it was going so fast .	the delivery truck , which we had seen parked by the red car , zoomed by the school bus because it was going so fast .	the van zoomed by the coach because   it was going so fast .	The school bus was zoomed by by the delivery truck because it was going so fast .	it	9	11	7	20	the delivery truck	the van	the school bus	the coach	A .		
The delivery truck zoomed by the school bus because   it was going so slow .	the delivery truck , which she had seen parked by the red car , zoomed by the school bus because it was going so slow .	the van zoomed by the coach because   it was going so slow .	The school bus was zoomed by by the delivery truck because it was going so slow .	it	9	11	7	20	the delivery truck	the van	the school bus	the coach	B .		
Frank felt vindicated when his longtime rival Bill revealed that he was the winner of the competition .	frank , who we know from the dinner party at lenny's , felt vindicated when his longtime rival bill revealed that he was the winner of the competition .	victor felt vindicated when his longtime rival john revealed that he was the winner of the competition .	-	he	10	-	10	21	frank	victor	bill	john	A .		
Frank felt crushed when his longtime rival Bill revealed that he was the winner of the competition .	frank , which we had seen at the dinner party at lenny's , felt crushed when his longtime rival bill revealed that he was the winner of the competition .	victor felt crushed when his longtime rival john revealed that he was the winner of the competition .	-	he	10	-	10	22	frank	victor	bill	john	B .		
