text_original	text_tense	text_random_context	text_rel_clause	text_voice	text_syn	text_gender	text_number	text_scrambled	text_adverb	pair_number	discrim_word	answer_a_gender	answer_b_gender	answer_a_number	answer_b_number	text_freqnoun	pron	pron_gender	pron_number	pron_index	pron_index_adverb	pron_index_context	pron_index_number	pron_index_gender	pron_index_voice	pron_index_syn	pron_index_rel	pron_index_tense	pron_index_scrambled	pron_index_freqnoun	answer_a	answer_b	answer_a_syn	answer_b_syn	correct_answer	associative	switchable
The city councilmen refused the demonstrators a permit because they feared violence .	The city councilmen are refusing the demonstrators a permit because they fear violence .	There was going to be a large protest in the city . The city councilmen refused the demonstrators a permit because they feared violence . This , however , did not deter them .	the city councilmen , whom you had seen with the journalists , refused the demonstrators a permit because they feared violence .	The demonstrators were refused a permit by the city councilmen because they feared violence .	the board of aldermen refused the protesters a permit because they feared violence .	-	The city councilman refused the demonstrator a permit because he feared violence .	The ctiy councilmen rufeesd the dtrnoerosatms a permit because they freead violence .	The city councilmen immediately refused the demonstrators a permit because they feared violence .	0	feared	-	-	the city councilman	the demonstrator	litter The city councilmen refused the demonstrators a permit because they feared violence sculpture .	they	-	he	9	10	21	9	9	11	10	18	10	9	10	the city councilmen	the demonstrators	the board of aldermen	the protesters	A	0	0
The city councilmen refused the demonstrators a permit because they advocated violence .	The city councilmen are refusing the demonstrators a permit because they advocate violence .	A far-right protest was scheduled to take place in New York City . The city councilmen refused the demonstrators a permit because they advocated violence . The people of the city were very relieved .	the city councilmen , whom you had seen with the journalists , refused the demonstrators a permit because they advocated violence .	The demonstrators were refused a permit by the city councilmen because they advocated violence .	the board of aldermen refused the protesters a permit because they advocated violence .	-	The city councilman refused the demonstrator a permit because he advocated violence .	The ctiy councilmen reefusd the demonstrators a piermt because they advocated violence .	The city councilmen immediately refused the demonstrators a permit because they advocated violence .	0	advocated	-	-	the city councilman	the demonstrator	The city councilmen refused the marble demonstrators a permit because they advocated transport violence .	they	-	he	9	10	22	9	9	11	10	18	10	9	10	the city councilmen	the demonstrators	the board of aldermen	the protesters	B	0	0
The trophy doesn't fit into the brown suitcase because it is too large .	The trophy didn't fit into the brown suitcase because it was too large .	The trophy was made of clay . The trophy doesn't fit into the brown suitcase because it is too large . The owners had to buy a new suitcase .	the trophy , which we had seen beside the blue painting  , doesn't fit into the brown suitcase because it is too large .	-	the cup doesn't fit into the brown suitcase because it is too large .	-	The trophies don't fit into the brown suitcases because they are too large .	The trophy doesn't fit into the brown suitcase because it is too lrgae .	The trophy doesn't properly fit into the brown suitcase because it is too large .	1	large	-	-	the trophies	the suitcases	The trophy doesn't fit into the brown suitcase because it is mailing too large month .	it	-	they	9	10	16	9	9	-	9	19	9	9	9	the trophy	the suitcase	the cup	the travel bag	A 	0	0
The trophy doesn't fit into the brown suitcase because it is too small .	The trophy didn't fit into the brown suitcase because it was too small .	The owners bought a suitcase on a budget . The trophy doesn't fit into the brown suitcase because it is too small . They need to carry it in a plastic bag .	the trophy , which you had seen beside the blue painting  , doesn't fit into the brown suitcase because it is too small .	-	the cup doesn't fit into the brown suitcase because it is too small .	-	The trophies don't fit into the brown suitcases because they are too small .	The tophry doesn't fit into the brown suitcase because it is too small .	The trophy doesn't properly fit into the brown suitcase because it is too small .	1	small	-	-	the trophies	the suitcases	The trophy doesn't fit comment into the brown suitcase because it is too small improvement .	it	-	they	9	10	18	9	9	-	9	19	9	9	10	the trophy	the suitcase	the cup	the travel bag	B 	0	0
Joan made sure to thank Susan for all the help she had received .	Joan is making sure to thank Susan for all the help she is receiving .	Susan was a volunteer at the village fair . Joan made sure to thank Susan for all the help she had received . The event was a great success .	joan , whom you know from cory's linguistics class , made sure to thank susan for all the help she had received .	-	linda made sure to thank cathy for all the help she had received .	John made sure to thank Bill for all the help he had received .	Joan and Sally made sure to thank Susan and Mary for all the help they had received .	Joan mdae sure to thank Sausn for all the help she had received .	Joan made sure to profusely thank Susan for all the help she had received .	2	received	john	bill	joan and sally	susan and mary	mandarin latter Joan made sure to thank Susan for all the help she had received .	she	he	they	10	11	19	14	10	-	10	3	11	10	12	joan	susan	linda	cathy	A 	0	1
Joan made sure to thank Susan for all the help she had given .	Joan is making sure to thank Susan for all the help she is giving .	Susan was brought in as the expert on statistics . Joan made sure to thank Susan for all the help she had given . They were able to publish their paper because of her .	joan , whom we had seen at cory's linguistics class , made sure to thank susan for all the help she had given .	-	linda made sure to thank cathy for all the help she had given .	John made sure to thank Bill for all the help he had given .	Joan and Sally made sure to thank Susan and Mary for all the help they had given .	Joan made sure to tahnk Susan for all the help she had given .	Joan made sure to profusely thank Susan for all the help she had given .	2	given	john	bill	joan and sally	susan and mary	Joan made sure to thank Susan for sickness all silence the help she had given .	she	he	they	10	11	20	14	10	-	10	20	11	10	12	joan	susan	linda	cathy	B 	0	1
Paul tried to call George on the phone , but he wasn't successful .	Paul is trying to call George on the phone , but he isn't successful .	Paul needed to know where the party was going to be . Paul tried to call George on the phone , but he wasn't successful . He decided to stay in that night .	paul , whom we know from tom's yoga class , tried to call george on the phone , but he wasn't successful .	George was tried on the phone by Paul , but he wasn't successful .	patrick tried to call jake on the phone ,  but  he  wasn't successful .	Anna tried to call Lily on the phone ,  but she wasn't successful .	Paul and Bill tried to call George and John on the phone ,  but they weren't successful .	Paul teird to call Groege on the pohne , but he wasn't sufesuccsl .	Paul continuously tried to call George on the phone , but he wasn't successful .	3	successful	anna	lily	paul and bill	george and john	Paul tried to call George animal on the phone answer , but he wasn't successful .	he	she	they	10	11	22	14	10	10	10	19	11	10	12	paul	george	patrick	jake	A 	0	1
Paul tried to call George on the phone , but  he wasn't available .	Paul is trying to call George on the phone , but he isn't available .	Paul needed a solicitor fairly urgently . Paul tried to call George on the phone , but he wasn't available . He decided to retain Kevin instead .	paul , whom you know from tom's yoga class , tried to call george on the phone , but he wasn't available .	George was tried on the phone by Paul , but he wasn't available .	patrick tried to call jake on the phone ,  but  he wasn't available .	Anna tried to call Lily on the phone ,  but  she wasn't available .	Paul and Bill tried to call George and John on the phone ,  but  they weren't available .	Paul tried to clal George on the phone , but he wasn't abavilale .	Paul continuously tried to call George on the phone , but  he wasn't available .	3	available	anna	lily	paul and bill	george and john	Paul tried to call George on the career phone , but he wasn't tofu available .	he	she	they	10	11	17	14	10	10	10	3	11	10	11	paul	george	patrick	jake	B 	0	1
The lawyer asked the witness a question , but  he was reluctant to repeat it .	The lawyer is asking the witness a question , but he is reluctant to repeat it .	The trainee lawyer was given an easy case to handle . The lawyer asked the witness a question , but he was reluctant to repeat it . He realised he had made a mistake .	the lawyer , that is mentioned in the interview with the suspect , asked the witness a question , but he was reluctant to repeat it .	The witness was asked a question by the lawyer , but he was reluctant to repeat it .	the attorney asked the bystander a question ,  but  he was reluctant to repeat it .	The lawyer asked the witness a question ,  but  she was reluctant to repeat it .	The lawyers asked the witnesses a question ,  but  they were reluctant to repeat it .	The lawyer asked the wsnteis a qsutieon , but he was rntcealut to repeat it .	The lawyer loudly asked the witness a question , but  he was reluctant to repeat it .	4	repeat	the lawyer	the witness	the lawyers	the witnesses	The lawyer asked the witness ruling a question , but he was reluctant to repeat it mind .	he	she	they	9	10	20	9	9	11	9	20	10	9	10	the lawyer	the witness	the attorney	the bystander	A 	0	0
The lawyer asked the witness a question , but  he was reluctant to answer it .	The lawyer is asking the witness a question , but he is reluctant to answer it .	The murder trial was supposed to be an open and shut case . The lawyer asked the witness a question , but he was reluctant to answer it . That was when the lawyer realized things might not be very straightforward .	the lawyer , that is mentioned in the interview with the suspect , asked the witness a question , but he was reluctant to answer it .	The witness was asked a question by the lawyer , but he was reluctant to answer it .	the attorney asked the bystander a question ,  but  he was reluctant to answer it .	The lawyer asked the witness a question ,  but  she was reluctant to answer it .	The lawyers asked the witnesses a question ,  but  they were reluctant to answer it .	The lwyaer asked the wnietss a question , but he was reluctant to aswenr it .	The lawyer loudly asked the witness a question , but  he was reluctant to answer it .	4	answer	the lawyer	the witness	the lawyers	the witnesses	The lawyer asked the witness asset a question , but he was reluctant to anagram answer it .	he	she	they	9	10	22	9	9	11	9	20	10	9	10	the lawyer	the witness	the attorney	the bystander	B 	0	0
The delivery truck zoomed by the school bus because it was going so fast .	The delivery truck is zooming by the school bus because it is going so fast .	The speed limit was a lot lower because it was a school zone . The delivery truck zoomed by the school bus because it was going so fast . The driver was later arrested .	the delivery truck , which we had seen parked by the red car , zoomed by the school bus because it was going so fast .	The school bus was zoomed by by the delivery truck because it was going so fast .	the van zoomed by the coach because   it was going so fast .	-	The delivery trucks zoomed by the school buses because they were going so fast .	The delivery truck zoomed by the school bus because it was going so fast .	The delivery truck closely zoomed by the school bus because it was going so fast .	5	fast	-	-	the delivery trucks	the school buses	The delivery truck zoomed hour by the school bus because switch it was going so fast .	it	-	they	9	10	23	9	9	11	7	20	10	9	10	the delivery truck	the school bus	the van	the coach	A 	0	1
The delivery truck zoomed by the school bus because it was going so slow .	The delivery truck is zooming by the school bus because it is going so slow .	The bus driver was very concerned about students fighting in the back seat . The delivery truck zoomed by the school bus because it was going so slow . They wound up reaching school an hour late .	the delivery truck , which she had seen parked by the red car , zoomed by the school bus because it was going so slow .	The school bus was zoomed by by the delivery truck because it was going so slow .	the van zoomed by the coach because   it was going so slow .	-	The delivery trucks zoomed by the school buses because they were going so slow .	The delivery tcruk zoomed by the school bus bsuecae it was going so solw .	The delivery truck closely zoomed by the school bus because it was going so slow .	5	slow	-	-	the delivery trucks	the school buses	The sound delivery truck zoomed by the school bus because it was initialise going so slow .	it	-	they	9	10	23	9	9	11	7	20	10	9	10	the delivery truck	the school bus	the van	the coach	B 	0	1
Frank felt vindicated when his longtime rival Bill revealed that he was the winner of the competition .	Frank feels vindicated when his longtime rival Bill reveals that he is the winner of the competition .	Frank had spent months training for the triathlon . Frank felt vindicated when his longtime rival Bill revealed that he was the winner of the competition . All his efforts were finally validated .	frank , whom we know from the dinner party at lenny's , felt vindicated when his longtime rival bill revealed that he was the winner of the competition .	-	victor felt vindicated when his longtime rival john revealed that he was the winner of the competition .	Elizabeth felt vindicated when her longtime rival Julia revealed that she was the winner of the competition .	Frank and Steve felt vindicated when their longtime rivals Bill and Pete revealed that they were the winners of the competition .	Frank felt viidnectad when his longtime rvail Bill rvaeeeld that he was the winner of the competition .	Frank felt completely vindicated when his longtime rival Bill revealed that he was the winner of the competition .	6	vindicated	elizabeth	julia	frank and steve	bill and pete	Frank felt vindicated when skullcap his longtime horn rival Bill revealed that he was the winner of the competition .	he	she	they	10	11	19	14	10	-	10	21	11	10	12	frank	bill	victor	john	A 	0	1
Frank felt crushed when his longtime rival Bill revealed that he was the winner of the competition .	Frank feels crushed when his longtime rival Bill reveals that he is the winner of the competition .	Frank had spent months working on his pet project . Frank felt crushed when his longtime rival Bill revealed that he was the winner of the competition . He felt better when he realised he had had fun the whole time .	frank , whom we had seen at the dinner party at lenny's , felt crushed when his longtime rival bill revealed that he was the winner of the competition .	-	victor felt crushed when his longtime rival john revealed that he was the winner of the competition .	Elizabeth felt crushed when his longtime rival Julia revealed that she was the winner of the competition .	Frank and Steve felt crushed when their longtime rivals Bill and Pete revealed that they were the winners of the competition .	Fanrk flet crushed wehn his longtime rival Blil rvealeed that he was the winner of the competition .	Frank felt completely crushed when his longtime rival Bill revealed that he was the winner of the competition .	6	crushed	elizabeth	julia	frank and steve	bill and pete	Frank felt crushed when his longtime rival Bill revealed that piece morale he was the winner of the competition .	he	she	they	10	11	20	14	10	-	10	22	11	10	12	frank	bill	victor	john	B 	0	1
The man couldn't lift his son because he was so weak .	The man can't lift his son because he is so weak .	The pandemic had taken its toll on a lot of people . The man couldn't lift his son because he was so weak . He was growing stronger now that he could eat better .	the man , who we had seen walk by with his nephew , couldn't lift his son because he was so weak .	The son couldn't be lifted by the man because he was so weak .	the adult couldn't lift the child because  he was so weak .	The woman couldn't lift her daughter because  she was so weak .	The men couldn't lift their sons because  they were so weak .	The man couldn't lift his son beucsae he was so weak .	The man couldn't properly lift his son because he was so weak .	7	weak	the woman	the daughter	the men	the sons	The man couldn't lift his guy son because he chopsticks was so weak .	he	she	they	7	8	19	7	7	9	7	4	7	7	8	the man	the son	the adult	the child	A 	0	1
The man couldn't lift his son because he was so heavy .	The man can't lift his son because he is so heavy .	Politicians pointed out that childhood obesity was turning into a huge problem . The man couldn't lift his son because he was so heavy . They decided to propose a sugar tax to fix this .	the man , who you had seen walk by with his nephew , couldn't lift his son because he was so heavy .	The son couldn't be lifted by the man because he was so heavy .	the adult couldn't lift the child because  he was so heavy .	The woman couldn't lift her daughter because  she was so heavy .	The men couldn't lift their sons because  they were so heavy .	The man couldn't lfit his son bsueace he was so heavy .	The man couldn't properly lift his son because he was so heavy .	7	heavy	the woman	the daughter	the men	the sons	The man couldn't lift his pill son gasp because he was so heavy .	he	she	they	7	8	20	7	7	9	7	18	7	7	9	the man	the son	the adult	the child	B 	0	1
